Academic Year,Degree Type,Record Type,Count
1983-1984,Master's,Degrees,3105
1983-1984,Advance Certificate,Degrees,386
1983-1984,J.D.,Degrees,0
1983-1984,Master of Philosophy,Degrees,108
1983-1984,PhD,Degrees,200
1983-1984,Total,Degrees,20286
1984-1985,Certificate,Degrees,319
1984-1985,Associate,Degrees,6909
1984-1985,Baccalaureate,Degrees,9251
1984-1985,Master's,Degrees,3383
1984-1985,Advance Certificate,Degrees,352
1984-1985,J.D.,Degrees,0
1984-1985,Master of Philosophy,Degrees,155
1984-1985,PhD,Degrees,234
1984-1985,Total,Degrees,20603
1985-1986,Certificate,Degrees,333
1985-1986,Associate,Degrees,7137
1985-1986,Baccalaureate,Degrees,9414
1985-1986,Master's,Degrees,3440
1985-1986,Advance Certificate,Degrees,365
1985-1986,J.D.,Degrees,0
1985-1986,Master of Philosophy,Degrees,147
1985-1986,PhD,Degrees,232
1985-1986,Total,Degrees,21068
1986-1987,Certificate,Degrees,260
1986-1987,Associate,Degrees,7054
1986-1987,Baccalaureate,Degrees,9249
1986-1987,Master's,Degrees,3664
1986-1987,Advance Certificate,Degrees,383
1986-1987,J.D.,Degrees,0
1986-1987,Master of Philosophy,Degrees,65
1986-1987,PhD,Degrees,232
1986-1987,Total,Degrees,20907
1987-1988,Certificate,Degrees,262
1987-1988,Associate,Degrees,7239
1987-1988,Baccalaureate,Degrees,9541
1987-1988,Master's,Degrees,3951
1987-1988,Advance Certificate,Degrees,380
1987-1988,J.D.,Degrees,0
1987-1988,Master of Philosophy,Degrees,120
1987-1988,PhD,Degrees,258
1987-1988,Total,Degrees,21751
1988-1989,Certificate,Degrees,204
1988-1989,Associate,Degrees,7151
1988-1989,Baccalaureate,Degrees,9606
1988-1989,Master's,Degrees,4285
1988-1989,Advance Certificate,Degrees,327
1988-1989,J.D.,Degrees,0
1988-1989,Master of Philosophy,Degrees,118
1988-1989,PhD,Degrees,225
1988-1989,Total,Degrees,21916
1989-1990,Certificate,Degrees,186
1989-1990,Associate,Degrees,6984
1989-1990,Baccalaureate,Degrees,9948
1989-1990,Master's,Degrees,4385
1989-1990,Advance Certificate,Degrees,368
1989-1990,J.D.,Degrees,0
1989-1990,Master of Philosophy,Degrees,112
1989-1990,PhD,Degrees,259
1989-1990,Total,Degrees,22242
1990-1991,Certificate,Degrees,175
1990-1991,Associate,Degrees,7044
1990-1991,Baccalaureate,Degrees,10312
1990-1991,Master's,Degrees,4705
1990-1991,Advance Certificate,Degrees,400
1990-1991,J.D.,Degrees,0
1990-1991,Master of Philosophy,Degrees,134
1990-1991,PhD,Degrees,320
1990-1991,Total,Degrees,23090
1991-1992,Certificate,Degrees,146
1991-1992,Associate,Degrees,7492
1991-1992,Baccalaureate,Degrees,10497
1991-1992,Master's,Degrees,4900
1991-1992,Advance Certificate,Degrees,349
1991-1992,J.D.,Degrees,0
1991-1992,Master of Philosophy,Degrees,184
1991-1992,PhD,Degrees,257
1991-1992,Total,Degrees,23825
1992-1993,Certificate,Degrees,173
1992-1993,Associate,Degrees,8181
1992-1993,Baccalaureate,Degrees,11378
1992-1993,Master's,Degrees,5249
1992-1993,Advance Certificate,Degrees,370
1992-1993,J.D.,Degrees,0
1992-1993,Master of Philosophy,Degrees,164
1992-1993,PhD,Degrees,318
1992-1993,Total,Degrees,25833
1993-1994,Certificate,Degrees,153
1993-1994,Associate,Degrees,8156
1993-1994,Baccalaureate,Degrees,11751
1993-1994,Master's,Degrees,5154
1993-1994,Advance Certificate,Degrees,348
1993-1994,J.D.,Degrees,142
1993-1994,Master of Philosophy,Degrees,175
1993-1994,PhD,Degrees,286
1993-1994,Total,Degrees,26165
1994-1995,Certificate,Degrees,263
1994-1995,Associate,Degrees,8193
1994-1995,Baccalaureate,Degrees,12141
1994-1995,Master's,Degrees,5440
1994-1995,Advance Certificate,Degrees,366
1994-1995,J.D.,Degrees,137
1994-1995,Master of Philosophy,Degrees,181
1994-1995,PhD,Degrees,294
